#Diff in means pdf cdf
#  x      p(x)     cdf(x) 
       -0.80039       0.00033546                 0  
       -0.79908       0.00033978        4.3104e-07  
       -0.79778       0.00034415        8.6763e-07  
       -0.79648       0.00034858        1.3098e-06  
       -0.79518       0.00035306        1.7577e-06  
       -0.79387       0.00035759        2.2114e-06  
       -0.79257       0.00036217        2.6708e-06  
       -0.79127       0.00036682        3.1362e-06  
       -0.78997       0.00037151        3.6075e-06  
       -0.78866       0.00037627        4.0848e-06  
       -0.78736       0.00038108        4.5683e-06  
       -0.78606       0.00038594        5.0579e-06  
       -0.78476       0.00039087        5.5538e-06  
       -0.78345       0.00039585         6.056e-06  
       -0.78215        0.0004009        6.5646e-06  
       -0.78085         0.000406        7.0797e-06  
       -0.77955       0.00041117        7.6013e-06  
       -0.77824       0.00041639        8.1296e-06  
       -0.77694       0.00042168        8.6646e-06  
       -0.77564       0.00042703        9.2063e-06  
       -0.77434       0.00043245         9.755e-06  
       -0.77303       0.00043793        1.0311e-05  
       -0.77173       0.00044347        1.0873e-05  
       -0.77043       0.00044908        1.1443e-05  
       -0.76913       0.00045476         1.202e-05  
       -0.76782        0.0004605        1.2604e-05  
       -0.76652       0.00046631        1.3196e-05  
       -0.76522       0.00047219        1.3795e-05  
       -0.76392       0.00047814        1.4402e-05  
       -0.76261       0.00048415        1.5016e-05  
       -0.76131       0.00049024        1.5638e-05  
       -0.76001        0.0004964        1.6268e-05  
       -0.75871       0.00050264        1.6905e-05  
        -0.7574       0.00050894        1.7551e-05  
        -0.7561       0.00051532        1.8205e-05  
        -0.7548       0.00052178        1.8867e-05  
        -0.7535       0.00052831        1.9537e-05  
       -0.75219       0.00053491        2.0216e-05  
       -0.75089       0.00054159        2.0903e-05  
       -0.74959       0.00054836        2.1599e-05  
       -0.74829       0.00055519        2.2303e-05  
       -0.74698       0.00056211        2.3017e-05  
       -0.74568       0.00056911        2.3739e-05  
       -0.74438       0.00057619         2.447e-05  
       -0.74308       0.00058336         2.521e-05  
       -0.74177        0.0005906        2.5959e-05  
       -0.74047       0.00059793        2.6718e-05  
       -0.73917       0.00060535        2.7486e-05  
       -0.73787       0.00061285        2.8264e-05  
       -0.73656       0.00062043        2.9051e-05  
       -0.73526       0.00062811        2.9848e-05  
       -0.73396       0.00063587        3.0655e-05  
       -0.73266       0.00064372        3.1472e-05  
       -0.73135       0.00065166        3.2299e-05  
       -0.73005        0.0006597        3.3136e-05  
       -0.72875       0.00066782        3.3983e-05  
       -0.72745       0.00067604        3.4841e-05  
       -0.72614       0.00068435         3.571e-05  
       -0.72484       0.00069276        3.6589e-05  
       -0.72354       0.00070127        3.7478e-05  
       -0.72224       0.00070987        3.8379e-05  
       -0.72093       0.00071857        3.9291e-05  
       -0.71963       0.00072737        4.0214e-05  
       -0.71833       0.00073626        4.1148e-05  
       -0.71703       0.00074526        4.2094e-05  
       -0.71572       0.00075437        4.3051e-05  
       -0.71442       0.00076357         4.402e-05  
       -0.71312       0.00077288        4.5001e-05  
       -0.71182        0.0007823        4.5994e-05  
       -0.71051       0.00079182        4.6999e-05  
       -0.70921       0.00080145        4.8016e-05  
       -0.70791       0.00081119        4.9045e-05  
       -0.70661       0.00082104        5.0087e-05  
        -0.7053         0.000831        5.1142e-05  
         -0.704       0.00084107        5.2209e-05  
        -0.7027       0.00085125        5.3289e-05  
        -0.7014       0.00086155        5.4383e-05  
       -0.70009       0.00087197        5.5489e-05  
       -0.69879        0.0008825        5.6609e-05  
       -0.69749       0.00089315        5.7743e-05  
       -0.69618       0.00090392         5.889e-05  
       -0.69488       0.00091481        6.0051e-05  
       -0.69358       0.00092582        6.1226e-05  
       -0.69228       0.00093696        6.2415e-05  
       -0.69097       0.00094822        6.3618e-05  
       -0.68967        0.0009596        6.4836e-05  
       -0.68837       0.00097111        6.6069e-05  
       -0.68707       0.00098275        6.7316e-05  
       -0.68576       0.00099452        6.8578e-05  
       -0.68446        0.0010064        6.9856e-05  
       -0.68316        0.0010185        7.1148e-05  
