#rate pdf cdf
#  x      p(x)     cdf(x) 
     0.00079968                1                 0  
      0.0015994           0.9992        0.00092459  
       0.002399           0.9984         0.0018484  
      0.0031987           0.9976         0.0027716  
      0.0039984          0.99681         0.0036939  
      0.0047981          0.99601         0.0046156  
      0.0055978          0.99521         0.0055365  
      0.0063974          0.99442         0.0064566  
      0.0071971          0.99362         0.0073761  
      0.0079968          0.99283         0.0082948  
      0.0087965          0.99204         0.0092127  
      0.0095962          0.99124           0.01013  
       0.010396          0.99045          0.011046  
       0.011196          0.98966          0.011962  
       0.011995          0.98887          0.012877  
       0.012795          0.98808          0.013792  
       0.013595          0.98729          0.014705  
       0.014394           0.9865          0.015618  
       0.015194          0.98571           0.01653  
       0.015994          0.98492          0.017441  
       0.016793          0.98413          0.018352  
       0.017593          0.98335          0.019262  
       0.018393          0.98256          0.020171  
       0.019192          0.98178           0.02108  
       0.019992          0.98099          0.021987  
       0.020792          0.98021          0.022894  
       0.021591          0.97942          0.023801  
       0.022391          0.97864          0.024706  
       0.023191          0.97786          0.025611  
        0.02399          0.97708          0.026515  
        0.02479           0.9763          0.027419  
        0.02559          0.97551          0.028321  
       0.026389          0.97473          0.029223  
       0.027189          0.97396          0.030124  
       0.027989          0.97318          0.031025  
       0.028788           0.9724          0.031925  
       0.029588          0.97162          0.032824  
       0.030388          0.97085          0.033722  
       0.031188          0.97007           0.03462  
       0.031987          0.96929          0.035517  
       0.032787          0.96852          0.036413  
       0.033587          0.96774          0.037308  
       0.034386          0.96697          0.038203  
       0.035186           0.9662          0.039097  
       0.035986          0.96543          0.039991  
       0.036785          0.96465          0.040883  
       0.037585          0.96388          0.041775  
       0.038385          0.96311          0.042666  
       0.039184          0.96234          0.043557  
       0.039984          0.96157          0.044447  
       0.040784           0.9608          0.045336  
       0.041583          0.96004          0.046224  
       0.042383          0.95927          0.047112  
       0.043183           0.9585          0.047999  
       0.043982          0.95774          0.048885  
       0.044782          0.95697           0.04977  
       0.045582          0.95621          0.050655  
       0.046381          0.95544          0.051539  
       0.047181          0.95468          0.052423  
       0.047981          0.95391          0.053305  
        0.04878          0.95315          0.054187  
        0.04958          0.95239          0.055069  
        0.05038          0.95163          0.055949  
        0.05118          0.95087          0.056829  
       0.051979          0.95011          0.057708  
       0.052779          0.94935          0.058587  
       0.053579          0.94859          0.059464  
       0.054378          0.94783          0.060341  
       0.055178          0.94707          0.061218  
       0.055978          0.94632          0.062093  
       0.056777          0.94556          0.062968  
       0.057577           0.9448          0.063843  
       0.058377          0.94405          0.064716  
       0.059176          0.94329          0.065589  
       0.059976          0.94254          0.066461  
       0.060776          0.94179          0.067333  
       0.061575          0.94103          0.068203  
       0.062375          0.94028          0.069073  
       0.063175          0.93953          0.069943  
       0.063974          0.93878          0.070812  
       0.064774          0.93803           0.07168  
       0.065574          0.93728          0.072547  
       0.066373          0.93653          0.073413  
       0.067173          0.93578          0.074279  
       0.067973          0.93503          0.075145  
       0.068772          0.93429          0.076009  
       0.069572          0.93354          0.076873  
       0.070372          0.93279          0.077736  
       0.071172          0.93205          0.078598  
       0.071971           0.9313           0.07946  
       0.072771          0.93056          0.080321  
       0.073571          0.92981          0.081182  
        0.07437          0.92907          0.082041  
        0.07517          0.92833            0.0829  
        0.07597          0.92759          0.083759  
       0.076769          0.92684          0.084616  
       0.077569           0.9261          0.085473  
       0.078369          0.92536           0.08633  
       0.079168          0.92462          0.087185  
       0.079968          0.92388           0.08804  
       0.080768          0.92315          0.088894  
       0.081567          0.92241          0.089748  
       0.082367          0.92167          0.090601  
       0.083167          0.92093          0.091453  
       0.083966           0.9202          0.092304  
       0.084766          0.91946          0.093155  
       0.085566          0.91873          0.094005  
       0.086365          0.91799          0.094855  
       0.087165          0.91726          0.095703  
       0.087965          0.91653          0.096552  
       0.088764          0.91579          0.097399  
       0.089564          0.91506          0.098246  
       0.090364          0.91433          0.099092  
       0.091164           0.9136          0.099937  
       0.091963          0.91287           0.10078  
       0.092763          0.91214           0.10163  
       0.093563          0.91141           0.10247  
       0.094362          0.91068           0.10331  
       0.095162          0.90995           0.10415  
       0.095962          0.90923             0.105  
       0.096761           0.9085           0.10584  
       0.097561          0.90777           0.10668  
       0.098361          0.90705           0.10752  
        0.09916          0.90632           0.10835  
        0.09996           0.9056           0.10919  
        0.10076          0.90487           0.11003  
        0.10156          0.90415           0.11087  
        0.10236          0.90343            0.1117  
        0.10316          0.90271           0.11254  
        0.10396          0.90198           0.11337  
        0.10476          0.90126           0.11421  
        0.10556          0.90054           0.11504  
        0.10636          0.89982           0.11587  
        0.10716           0.8991            0.1167  
        0.10796          0.89838           0.11753  
        0.10876          0.89767           0.11837  
        0.10956          0.89695            0.1192  
        0.11036          0.89623           0.12002  
        0.11116          0.89552           0.12085  
        0.11196           0.8948           0.12168  
        0.11275          0.89408           0.12251  
        0.11355          0.89337           0.12334  
        0.11435          0.89266           0.12416  
        0.11515          0.89194           0.12499  
        0.11595          0.89123           0.12581  
        0.11675          0.89052           0.12664  
        0.11755           0.8898           0.12746  
        0.11835          0.88909           0.12828  
        0.11915          0.88838            0.1291  
        0.11995          0.88767           0.12992  
        0.12075          0.88696           0.13075  
        0.12155          0.88625           0.13157  
        0.12235          0.88555           0.13239  
        0.12315          0.88484            0.1332  
        0.12395          0.88413           0.13402  
        0.12475          0.88342           0.13484  
