#std.dev1/std.dev2 pdf cdf
#  x      p(x)     cdf(x) 
        0.20412       1.6309e-06                 0  
        0.20813        2.189e-06        3.6077e-09  
        0.21205       2.9022e-06        8.4162e-09  
        0.21591       3.8042e-06         1.475e-08  
         0.2197       4.9341e-06        2.3003e-08  
        0.22342       6.3367e-06        3.3648e-08  
        0.22708       8.0633e-06        4.7249e-08  
        0.23069       1.0172e-05        6.4472e-08  
        0.23424       1.2729e-05        8.6101e-08  
        0.23773       1.5807e-05        1.1305e-07  
        0.24118       1.9489e-05        1.4639e-07  
        0.24457       2.3867e-05        1.8734e-07  
        0.24792       2.9041e-05        2.3731e-07  
        0.25123       3.5123e-05        2.9791e-07  
        0.25449       4.2236e-05        3.7097e-07  
        0.25771       5.0514e-05        4.5857e-07  
         0.2609         6.01e-05        5.6304e-07  
        0.26404       7.1155e-05        6.8701e-07  
        0.26714       8.3848e-05        8.3341e-07  
        0.27022       9.8363e-05        1.0055e-06  
        0.27325        0.0001149        1.2069e-06  
        0.27625       0.00013367        1.4417e-06  
        0.27922       0.00015489        1.7142e-06  
        0.28216       0.00017882        2.0294e-06  
        0.28507        0.0002057        2.3926e-06  
        0.28795       0.00023581        2.8095e-06  
         0.2908       0.00026943        3.2867e-06  
        0.29363       0.00030688         3.831e-06  
        0.29642       0.00034846          4.45e-06  
        0.29919       0.00039451        5.1517e-06  
        0.30194       0.00044539         5.945e-06  
        0.30466       0.00050147        6.8392e-06  
        0.30735       0.00056312        7.8447e-06  
        0.31003       0.00063076        8.9723e-06  
        0.31268       0.00070479        1.0234e-05  
         0.3153       0.00078565        1.1641e-05  
        0.31791        0.0008738        1.3209e-05  
        0.32049       0.00096969         1.495e-05  
        0.32306        0.0010738         1.688e-05  
         0.3256        0.0011867        1.9015e-05  
        0.32813        0.0013087        2.1372e-05  
        0.33063        0.0014406        2.3968e-05  
        0.33312        0.0015828        2.6824e-05  
        0.33558        0.0017358        2.9958e-05  
        0.33803        0.0019002        3.3392e-05  
        0.34046        0.0020767        3.7148e-05  
        0.34288        0.0022658         4.125e-05  
        0.34528        0.0024681        4.5721e-05  
        0.34766        0.0026843        5.0587e-05  
        0.35002        0.0029149        5.5875e-05  
        0.35237        0.0031606        6.1613e-05  
        0.35471        0.0034221        6.7831e-05  
        0.35702        0.0037001        7.4557e-05  
